source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
PSMB7	UBC	physical_PPI	STRING	0.929		combined_score=0.929; escore=0.858; dscore=0.500; STRING network_type=physical membership=True
PSMB7	UBA52	physical_PPI	STRING	0.934		combined_score=0.934; escore=0.853; dscore=0.500; STRING network_type=physical membership=True
PSMB7	UBB	physical_PPI	STRING	0.934		combined_score=0.934; escore=0.857; dscore=0.500; STRING network_type=physical membership=True
PSMB7	RPS27A	physical_PPI	STRING	0.959		combined_score=0.959; escore=0.902; dscore=0.500; STRING network_type=physical membership=True
PSMB7	PSMC5	physical_PPI	STRING	0.997		combined_score=0.997; escore=0.983; dscore=0.000; STRING network_type=physical membership=True
PSMB7	PSMB6	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.999; dscore=0.900; STRING network_type=physical membership=True
PSMB7	PSMC3	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.978; dscore=0.800; STRING network_type=physical membership=True
KMT2C	UBB	physical_PPI	STRING	0.802		combined_score=0.802; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	UBC	physical_PPI	STRING	0.809		combined_score=0.809; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	RPS27A	physical_PPI	STRING	0.809		combined_score=0.809; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	UBA52	physical_PPI	STRING	0.81		combined_score=0.810; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	TP53	functional_association	STRING	0.858		combined_score=0.858; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
TP53	UBB	functional_association	STRING	0.799		combined_score=0.799; escore=0.227; dscore=0.500; STRING network_type=physical membership=False
TP53	PSMC5	physical_PPI	STRING	0.903		combined_score=0.903; escore=0.510; dscore=0.400; STRING network_type=physical membership=True
TP53	UBC	functional_association	STRING	0.921		combined_score=0.921; escore=0.653; dscore=0.500; STRING network_type=physical membership=False
TP53	CTNNB1	functional_association	STRING	0.927		combined_score=0.927; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	RPS27A	functional_association	STRING	0.971		combined_score=0.971; escore=0.923; dscore=0.500; STRING network_type=physical membership=False
TP53	PTEN	functional_association	STRING	0.999		combined_score=0.999; escore=0.748; dscore=0.900; STRING network_type=physical membership=False
PSMB6	UBA52	physical_PPI	STRING	0.942		combined_score=0.942; escore=0.853; dscore=0.500; STRING network_type=physical membership=True
PSMB6	UBC	physical_PPI	STRING	0.946		combined_score=0.946; escore=0.858; dscore=0.500; STRING network_type=physical membership=True
